Sun Jan  9 16:40:04 2022    Face_Detector/Viola_and_jones/output.dat

         1207220 function calls (1206955 primitive calls) in 11.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
       48    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\getlimits.py:366(__new__)
      2/1    0.000    0.000   11.619   11.619 {built-in method builtins.exec}
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\util\dtype.py:35(dtype_limits)
       24    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
      120    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\type_check.py:206(_is_type_dispatcher)
       12    0.000    0.000    0.000    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\measurements.py:459(_safely_castable_to_int)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\fromnumeric.py:2881(prod)
       47    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:1134(__del__)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\filters\_gaussian.py:129(_guess_spatial_dimensions)
       73    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\threading.py:513(is_set)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\filters.py:374(<listcomp>)
       12    0.000    0.000    0.043    0.004 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\measurements.py:574(sum)
       72    0.000    0.000    0.000    0.000 {built-in method sys.audit}
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\util\dtype.py:77(<genexpr>)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\fromnumeric.py:2337(all)
       12    0.000    0.000    0.032    0.003 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\morphology.py:293(binary_erosion)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_methods.py:53(_any)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\getlimits.py:522(max)
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\multiprocessing\synchronize.py:11(<module>)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\morphology.py:50(<listcomp>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\threading.py:834(start)
       36    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_arrays)
       12    0.000    0.000    0.002    0.000 {method 'min' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(may_share_memory)
       36    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\stride_tricks.py:260(<genexpr>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:849(get_code)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\stride_tricks.py:256(<listcomp>)
        2    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\ctypes\__init__.py:398(__getitem__)
        5    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       12    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\tempfile.py:133(rng)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\multiarray.py:1043(copyto)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\multiprocessing\synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\threading.py:761(__init__)
